home_club_id,away_club_id,time,division,date,day,played,result,time_most_frequent,datetime_start,datetime_end
235,647,14:00,3D,2023-01-28,19,False,,14:00,2023-01-28 14:00:00+01:00,2023-01-28 15:10:00+01:00
235,523,14:00,3D,2023-02-11,21,False,,14:00,2023-02-11 14:00:00+01:00,2023-02-11 15:10:00+01:00
235,84,14:00,3D,2023-03-18,25,False,,14:00,2023-03-18 14:00:00+01:00,2023-03-18 15:10:00+01:00
235,625,14:00,3D,2023-03-25,26,False,,14:00,2023-03-25 14:00:00+01:00,2023-03-25 15:10:00+01:00
637,303,15:30,3D,2022-09-10,2,False,,15:30,2022-09-10 15:30:00+02:00,2022-09-10 16:40:00+02:00
637,523,15:30,3D,2022-09-24,4,True,2-1,15:30,2022-09-24 15:30:00+02:00,2022-09-24 16:40:00+02:00
637,624,15:30,3D,2022-10-08,6,True,2-6,15:30,2022-10-08 15:30:00+02:00,2022-10-08 16:40:00+02:00
637,401,15:30,3D,2022-10-22,8,True,4-1,15:30,2022-10-22 15:30:00+02:00,2022-10-22 16:40:00+02:00
637,416,15:30,3D,2022-11-12,10,True,0-4,15:30,2022-11-12 15:30:00+01:00,2022-11-12 16:40:00+01:00
637,625,15:30,3D,2022-11-19,11,True,0-8,15:30,2022-11-19 15:30:00+01:00,2022-11-19 16:40:00+01:00
637,647,15:30,3D,2022-12-10,14,False,,15:30,2022-12-10 15:30:00+01:00,2022-12-10 16:40:00+01:00
637,84,15:30,3D,2023-01-14,17,False,,15:30,2023-01-14 15:30:00+01:00,2023-01-14 16:40:00+01:00
637,634,15:30,3D,2023-01-28,19,False,,15:30,2023-01-28 15:30:00+01:00,2023-01-28 16:40:00+01:00
637,402,15:30,3D,2023-02-11,21,False,,15:30,2023-02-11 15:30:00+01:00,2023-02-11 16:40:00+01:00
637,235,15:30,3D,2023-02-25,22,False,,15:30,2023-02-25 15:30:00+01:00,2023-02-25 16:40:00+01:00
637,566,15:30,3D,2023-03-18,25,False,,15:30,2023-03-18 15:30:00+01:00,2023-03-18 16:40:00+01:00
